index,filename,dimensions,format
174,7-0_output\bah\common\texture\f1b4_c1_tmet1_d.dds,256x256,BC7_UNORM
175,6-3_output\bah\common\texture\f1b4_c1_tsld1_n.dds,256x256,BC3_UNORM
175,7-0_output\bah\common\texture\f1b4_c1_tsld1_n.dds,256x256,BC7_UNORM
176,6-3_output\bah\common\texture\f1b4_q1_blck01_n.dds,1024x1024,BC3_UNORM
176,7-0_output\bah\common\texture\f1b4_q1_blck01_n.dds,1024x1024,BC7_UNORM
177,6-3_output\bah\common\texture\f1b4_q2_maho1_d.dds,4096x4096,BC1_UNORM
177,7-0_output\bah\common\texture\f1b4_q2_maho1_d.dds,4096x4096,BC7_UNORM
178,6-3_output\bah\common\texture\f1b4_q2_maho2_d.dds,4096x4096,BC1_UNORM
178,7-0_output\bah\common\texture\f1b4_q2_maho2_d.dds,4096x4096,BC7_UNORM
179,6-3_output\bah\common\texture\f1b4_q2_maho3_d.dds,512x512,BC3_UNORM
179,7-0_output\bah\common\texture\f1b4_q2_maho3_d.dds,512x512,BC7_UNORM
180,6-3_output\bah\common\texture\f1b4_s1_line1_d.dds,1024x1024,BC3_UNORM
180,7-0_output\bah\common\texture\f1b4_s1_line1_d.dds,1024x1024,BC7_UNORM
181,6-3_output\bah\common\texture\f1b4_t1_bah02_n.dds,1024x1024,BC3_UNORM
181,7-0_output\bah\common\texture\f1b4_t1_bah02_n.dds,1024x1024,BC7_UNORM
182,6-3_output\bah\common\texture\f1b4_t1_grnd2_n.dds,1024x1024,BC3_UNORM
182,7-0_output\bah\common\texture\f1b4_t1_grnd2_n.dds,1024x1024,BC7_UNORM
183,6-3_output\bah\common\texture\f1b4_t2_grnd2_n.dds,1024x1024,BC3_UNORM
183,7-0_output\bah\common\texture\f1b4_t2_grnd2_n.dds,1024x1024,BC7_UNORM
184,6-3_output\bah\common\texture\f1b5_b4_gear1_n.dds,512x512,BC3_UNORM
184,7-0_output\bah\common\texture\f1b5_b4_gear1_n.dds,512x512,BC7_UNORM
185,6-3_output\bah\common\texture\f1b5_b7_meta2_n.dds,1024x1024,BC3_UNORM
185,7-0_output\bah\common\texture\f1b5_b7_meta2_n.dds,1024x1024,BC7_UNORM
186,6-3_output\bah\common\texture\s1b0_b1_edge1_n.dds,512x512,BC3_UNORM
186,7-0_output\bah\common\texture\s1b0_b1_edge1_n.dds,512x512,BC7_UNORM
187,6-3_output\bah\common\texture\s1b0_b1_flor1_n.dds,1024x1024,BC3_UNORM
